model_id,model,n,mean_cer,mean_cer_ci95_low,mean_cer_ci95_high,median_cer,std_cer,p75_cer,p90_cer,p95_cer,p99_cer,max_cer,perfect_rate,pass_1pct_rate,pass_3pct_rate,pass_5pct_rate,pass_10pct_rate,over_10pct_rate,over_20pct_rate,length_cer_pearson,length_cer_spearman
whisper_large,Whisper large,3922,0.022242307278182213,0.020780234330496226,0.023700226644343063,0.0,0.04747992314583135,0.0357142857142857,0.074074074074074,0.1071428571428571,0.1923076923076923,0.6666666666666666,0.7027027027027027,0.7027027027027027,0.7287098419173891,0.8319734829168791,0.9431412544620091,0.05685874553799082,0.008924018357980621,-0.0396227668608259,0.06519310405500989
whisper_medium,Whisper medium,3922,0.026361062050102812,0.02486491448984152,0.027819777106665125,0.0,0.04731492452171362,0.0434782608695652,0.0869565217391304,0.1176470588235294,0.206583333333333,0.425,0.6511983681795003,0.6511983681795003,0.6795002549719531,0.7950025497195309,0.9275879653238144,0.07241203467618562,0.010198878123406425,-0.017487989698278944,0.082119074058914
aws_transcribe,AWS Transcribe,3922,0.037273282228613556,0.035512883869601934,0.039000130215181845,0.0,0.056705057843317565,0.0588235294117647,0.1153846153846153,0.15781249999999963,0.23434389140271472,0.4705882352941176,0.5611932687404385,0.5611932687404385,0.592044875063743,0.7100968893421724,0.8768485466598674,0.12315145334013258,0.017848036715961243,-0.08032396907045705,-0.0013767121770822338
whisper_base,Whisper base,3922,0.09346017882998377,0.0903587741830556,0.09656184698013337,0.0693664795509222,0.09923373900291281,0.1428571428571428,0.2222222222222222,0.28,0.4375,0.7567567567567568,0.29117797042325344,0.29117797042325344,0.30673125956144826,0.4112697603263641,0.6267210606833248,0.37327893931667516,0.1236613972463029,-0.059641132299532336,0.008878419314598918
