basis,provider_id,provider,n,mean_cer,median_cer,min_cer,max_cer,pass_10pct_rate,over_20pct_rate
hangul ground truth,aws,AWS,3,0.1076905010994404,0.119938884644767,0.0727424749163879,0.1303901437371663,0.3333333333333333,0.0
hangul ground truth,azure,Azure,3,0.1424216702127368,0.1153552330022918,0.0647302904564315,0.2471794871794871,0.3333333333333333,0.3333333333333333
hangul ground truth,clova,Clova,3,0.26005570501929526,0.3079877112135176,0.1330578512396694,0.3391215526046987,0.0,0.6666666666666666
hangul ground truth,gcp,GCP,3,0.3220318224894149,0.2966948501152959,0.1776480400333611,0.4917525773195876,0.0,0.6666666666666666
numeric ground truth,azure,Azure,3,0.1059473962497864,0.087920489296636,0.0556478405315614,0.1742738589211618,0.6666666666666666,0.0
numeric ground truth,aws,AWS,3,0.15706726159631904,0.1451489686783804,0.0896147403685092,0.2364380757420675,0.3333333333333333,0.3333333333333333
numeric ground truth,clova,Clova,3,0.2056391099330356,0.2332635983263598,0.1126760563380281,0.270977675134719,0.0,0.6666666666666666
numeric ground truth,gcp,GCP,3,0.2906298360178824,0.285824345146379,0.162907268170426,0.4231578947368421,0.0,0.6666666666666666
