model_id,model,length_bin,n,mean_cer,median_cer,perfect_rate
aws_transcribe,AWS Transcribe,<=20,371,0.053174517156996934,0.0,0.6091644204851752
aws_transcribe,AWS Transcribe,21-30,1623,0.03725629112110662,0.0,0.5995070856438693
aws_transcribe,AWS Transcribe,31-40,1199,0.03544163573344251,0.0,0.5537948290241869
aws_transcribe,AWS Transcribe,41-50,393,0.03635519188646769,0.0285714285714285,0.4529262086513995
aws_transcribe,AWS Transcribe,51+,336,0.02740772288702718,0.019803921568627453,0.47619047619047616
whisper_base,Whisper base,<=20,371,0.10694457358085072,0.0714285714285714,0.42318059299191374
whisper_base,Whisper base,21-30,1623,0.09367124215407195,0.0625,0.33826247689463956
whisper_base,Whisper base,31-40,1199,0.09543653179685953,0.0769230769230769,0.2543786488740617
whisper_base,Whisper base,41-50,393,0.0873530265031599,0.064516129032258,0.18575063613231552
whisper_base,Whisper base,51+,336,0.07764231403709976,0.0681818181818181,0.17261904761904762
whisper_large,Whisper large,<=20,371,0.02859254028391494,0.0,0.7870619946091644
whisper_large,Whisper large,21-30,1623,0.02233267539106747,0.0,0.7356746765249538
whisper_large,Whisper large,31-40,1199,0.020786663414444913,0.0,0.6905754795663053
whisper_large,Whisper large,41-50,393,0.024990114442494833,0.0,0.6030534351145038
whisper_large,Whisper large,51+,336,0.016774524196951735,0.0,0.6101190476190477
whisper_medium,Whisper medium,<=20,371,0.02862839840602643,0.0,0.7574123989218329
whisper_medium,Whisper medium,21-30,1623,0.025765072306903666,0.0,0.6956253850893407
whisper_medium,Whisper medium,31-40,1199,0.026928681687317903,0.0,0.6255212677231026
whisper_medium,Whisper medium,41-50,393,0.029478227759980633,0.0,0.5419847328244275
whisper_medium,Whisper medium,51+,336,0.02106489388391733,0.0,0.5386904761904762
